row,nameInMMS,nameInBag
1,myd_colebarbara20140813_v02_em,myd_colebarbara20140813_v02_sc
2,myd_colebarbara20140813_v01_em,myd_colebarbara20140813_v01_em
3,myd_colebarbara20140813_v01_em,myd_colebarbara20140813_v01_sc
4,myh_lt7a5231_v01f01_em,myh_lt7a5231_v01f01_pm
5,myh_lt7a5231_v01f01_em,myh_lt7a5231_v01f01_em
6,myh_lt7a5231_v01f01_em,myh_lt7a5231_v01f01_sc
7,myh_lt7a1328_v01f01_em,myh_lt7a1328_v01f01_pm
8,myh_lt7a1328_v01f01_em,myh_lt7a1328_v01f01_em
9,myh_lt7a1328_v01f01_em,myh_lt7a1328_v01f01_sc
10,myh_lj168571_v01f01_em,myh_lj168571_v01f01_sc
11,myh_lj168571_v01f01_em,myh_lj168571_v01f01_pm
12,myh_lj168571_v01f01_em,myh_lj168571_v01f01_em
13,myh_lj168570_v01f01_em,myh_lj168570_v01f01_sc
14,myh_lj168570_v01f01_em,myh_lj168570_v01f01_pm
15,myh_lj168570_v01f01_em,myh_lj168570_v01f01_em
16,myh_lj168568_v01f01_em,myh_lj168568_v01f01_sc
17,myh_lj168568_v01f01_em,myh_lj168568_v01f01_pm
18,myh_lj168568_v01f01_em,myh_lj168568_v01f01_em
19,myh_lj168567_v01f01_em,myh_lj168567_v01f01_sc
20,myh_lj168567_v01f01_em,myh_lj168567_v01f01_pm
21,myh_lj168567_v01f01_em,myh_lj168567_v01f01_em
22,myh_lj168566_v01f01_em,myh_lj168566_v01f01_sc
23,myh_lj168566_v01f01_em,myh_lj168566_v01f01_pm
24,myh_lj168566_v01f01_em,myh_lj168566_v01f01_em
25,myh_lj168560_v01f01_em,myh_lj168560_v01f01_sc
26,myh_lj168560_v01f01_em,myh_lj168560_v01f01_pm
27,myh_lj168560_v01f01_em,myh_lj168560_v01f01_em
28,myh_lj168559_v01f01_em,myh_lj168559_v01f01_sc
29,myh_lj168559_v01f01_em,myh_lj168559_v01f01_pm
30,myh_lj168559_v01f01_em,myh_lj168559_v01f01_em
31,myh_lj168558_v01f01_em,myh_lj168558_v01f01_sc
32,myh_lj168558_v01f01_em,myh_lj168558_v01f01_pm
33,myh_lj168558_v01f01_em,myh_lj168558_v01f01_em
34,myh_lj168557_v01f01_em,myh_lj168557_v01f01_sc
35,myh_lj168557_v01f01_em,myh_lj168557_v01f01_pm
36,myh_lj168557_v01f01_em,myh_lj168557_v01f01_em
37,myh_lj168556_v01f01_em,myh_lj168556_v01f01_sc
38,myh_lj168556_v01f01_em,myh_lj168556_v01f01_pm
39,myh_lj168556_v01f01_em,myh_lj168556_v01f01_em
40,myh_lj168555_v01f01_em,myh_lj168555_v01f01_sc
41,myh_lj168555_v01f01_em,myh_lj168555_v01f01_pm
42,myh_lj168555_v01f01_em,myh_lj168555_v01f01_em
43,myh_lj168554_v01f01_em,myh_lj168554_v01f01_sc
44,myh_lj168554_v01f01_em,myh_lj168554_v01f01_pm
45,myh_lj168554_v01f01_em,myh_lj168554_v01f01_em
46,myh_lj168548_v01f02_em,myh_lj168548_v01f02_sc
47,myh_lj168548_v01f02_em,myh_lj168548_v01f02_pm
48,myh_lj168548_v01f02_em,myh_lj168548_v01f02_em
49,myh_lj168548_v01f01_em,myh_lj168548_v01f01_sc
50,myh_lj168548_v01f01_em,myh_lj168548_v01f01_pm
51,myh_lj168548_v01f01_em,myh_lj168548_v01f01_em
52,myh_lj168547_v01f01_em,myh_lj168547_v01f01_sc
53,myh_lj168547_v01f01_em,myh_lj168547_v01f01_pm
